1;Wie viele Länder liegen zwischen Finnland und Nordkorea?;1;2;3;1;3;1
2;Welche europäische Hauptstadt liegt auf demselben Breitengrad wie New York?;Rom;Madrid;Lissabon;7;1;1
3;Wo liegt der höchste Berg der Niederlande?;Saba;Limburg;Sint Maarten;1;3;1
4;Wie heißt die französisch-sprachige Bevölkerung Belgiens?;Flamen;Wallonen;Seelander;2;3;1
5;Mit welcher Währung wird in Nordirland bezahlt?;Irische Pfund;Euro;Britische Pfund;4;3;1
6;Welches ist das kleinste Land der Welt?;Vatikanstadt;;;1;2;1
7;Durch welches Land fließt die Donau bevor sie in der Ukraine mündet?;Moldavien;;;1;1;1
8;Welches Tier ist auf der Flagge Papua-Neuguineas abgebildet?;Paradiesvogel;;;1;1;1
9;Nennen Sie einen gültigen Schwimmstil neben Freistil (Kraul) und Delphin.;Schmetterling;Brust;Rücken;7;1;6
10;Wie heisst der berühmte deutsche Basketballspieler der Dallas Mavericks, Nowitzki, mit Vornamen?;Dirk;;;1;2;6
11;Wie viele Personen sitzen in der größten Bootsklasse beim Rudern?;9;;;1;2;6
12;Nennen Sie ein Jahr, in dem Deutschland Fußball-Weltmeister wurde, außer 2014.;1954;1974;1990;7;1;6
13;Wie ist der Name des wohl bekanntesten Radrennens Frankreichs?;Tour de France;;;1;1;6
14;Wie nennt man es, wenn beim Darts ein Triple-, Double- und Einfach-Feld derselben Zahl getroffen werden? ;Peking;Hong Kong;Shanghai;4;3;6
15;Welcher dieser Tennisspieler ist der führende in der Weltrangliste?;Rafael Nadal;Novak Djokovic;Roger Federer;2;3;6
16;"Wie lang ist die Distanz eines ""normalen"" Marathons in Metern?";42.195;;;1;1;6
17;Von wem ist der Roman Tauben im Gras?;Wolfgang Koeppen;;;1;1;3
18;In wie vielen Teilen wurde Faust veröffentlicht?;2;Zwei;;3;1;3
19;Welche Werke sind von Schiller?;Kabale und Liebe;Wilhelm Tell;Die Räuber;7;3;3
20;Warum haben im Jahr 1774 so viele Menschen Selbstmord begangen?;Die Leiden des jungen Werthers;;;1;2;3
21;"Aus welchem Werk stammt ""Da steh ich nun ich armer Tor und bin so klug als wie zuvor.""?";Faust von Goethe;;;1;2;3
22;Auf welchem Mythos baut Iphigenie auf Tauris auf?;Fluch der Tantaliden;Tantalidenfluch;Tantalos Fluch;7;2;3
23;Welche dieser Dichter kommen aus Deutschland?;Goethe;Schiller;Loriot;7;3;3
24;Welchen dieser Romane schrieb Thomas Mann?;Die Räuber;Die Buddenbrocks;Mario und der Zauberer;6;3;3
25;Welches Musikfestival fand bis 2014 jährlich am Nürburgring statt?;Rock am Ring;;;1;1;4
26;"Von welcher Band stammt das bekannte Trinklied ""Eisgekühlter Bommerlunder""?";Die Toten Hosen;;;1;1;4
27;"Nennen Sie ein Mitglied der aktuellen Besetzung der Band ""Die Ärzte"".";Farin Urlaub;Bela B;Rodrigo González;7;1;4
28;"Nennen Sie ein Blechblasinstrument, welches mit ""T"" beginnt.";Tenorhorn;Trompete;Tuba;7;1;4
29;"Von welchem Komponist stammt die 9. Sinfonie in d-Moll, deren vierter Satz auch als ""Ode an die Freude"" bezeichnet wird?";Ludwig van Beethoven;;;1;2;4
30;Die wievielte Strophe des Deutschlandliedes bildet die deutsche Nationalhymne?;Die dritte Strophe des Deutschlandliedes bildet die deutsche Nationalhymne.;;;1;2;4
31;Die Querflöte ist ein…;Blechblasinstrument;Holzblasinstrument;elektronisches Musikinstrument;2;3;4
32;Welches Instrument spielt der Konzertmeister?;Trompete;Flügel;Geige;4;3;4
33;Wie lange ist der menschliche Darm im Durchschnitt (in Metern)?;3;8;14;2;3;5
34;Wie alt ist die älteste bekannte Schildkröte geworden?;125;201;270;4;3;5
